,route_name,route_ID,type_string,sector_ID,parent_sector,parent_loc,num_votes,adjusted_num_votes,mean_rating,median_rating,mode_rating,RQI_mean,RQI_median,ARQI_mean,ARQI_median,nopm_YDS,YDS_rank,safety,state
30072,Johnny's Got a Gun,107952611,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",5,5.679590614338915,2.0,2.0,2.0,1.6,1.6,1.6478619436142594,1.6478619436142594,5.10a,100,,Oregon
30073,Johnny Nowhere,107804397,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",3,3.4077543686033493,2.3333333333333335,2.75,3.0,1.5555555555555558,1.8333333333333335,1.6486204459166156,1.9430169541160112,5.10a,100,,Oregon
30074,Etched in Stone,107805875,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",6,6.815508737206699,3.5,3.5,3.0,2.916666666666667,2.916666666666667,2.9864653344374616,2.9864653344374616,5.10a,100,,Oregon
30075,Phish Food,107766121,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",3,6.7583978975959,3.0,3.0,3.0,2.0,2.0,2.5561078164594067,2.5561078164594067,5.11c,114,,Oregon
30076,Twister,107766531,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",6,8.510275805647762,2.3333333333333335,2.1666666666666665,2.0,1.9444444444444446,1.8055555555555556,2.05915498863329,1.9120724894451975,5.10c,104,,Oregon
30077,Split Decision,107722460,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",8,11.34703440753035,2.0,2.0,2.0,1.75,1.75,1.8237424926928292,1.8237424926928292,5.10c,104,,Oregon
30078,Snapped it Off,107724719,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",4,5.673517203765175,1.75,1.8333333333333333,2.0,1.3125,1.375,1.4415493622124511,1.5101945699368535,5.10c,104,,Oregon
30079,Rally Race,107724722,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",31,43.9697583291801,3.2580645161290325,3.2666666666666666,3.0,3.1529656607700316,3.161290322580645,3.1839666670633746,3.192373179715687,5.10c,104,,Oregon
30080,Nurse Ratchet,107722336,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",6,8.510275805647762,2.3333333333333335,2.5,3.0,1.9444444444444446,2.0833333333333335,2.05915498863329,2.206237487821382,5.10c,104,,Oregon
30081,Noble Slabbage,107722474,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.4183793009412937,2.0,2.0,2.0,0.0,0.0,0.589939941542633,0.589939941542633,5.10c,104,,Oregon
